word,level,pos,url,audioUk,audioUs
adult,a2,adjective,/definition/english/adult_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adult__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adu/adult/adult__us_2_rr.mp3
adult,a1,noun,/definition/english/adult_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adult__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adu/adult/adult__us_2_rr.mp3
advance,b2,adjective,/definition/english/advance_3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/advan/advance__us_1.mp3
advance,b2,noun,/definition/english/advance_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/advan/advance__us_1.mp3
advance,b2,verb,/definition/english/advance_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/advan/advance__us_1.mp3
advanced,b1,adjective,/definition/english/advanced,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advanced__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/advan/advanced__us_1.mp3
advantage,a2,noun,/definition/english/advantage_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advantage__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/advan/advantage__us_1.mp3
adventure,a2,noun,/definition/english/adventure,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adven/adventure__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/adven/adventure__us_3.mp3
adverse,c1,adjective,/definition/english/adverse,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/adverse__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/adver/adverse__us_2_rr.mp3
advertise,a2,verb,/definition/english/advertise,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertise__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/adver/advertise__us_1.mp3
advertisement,a2,noun,/definition/english/advertisement,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertisement__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adv/adver/advertisement__us_2_rr.mp3
